"Gene.names","pvalue.-log10","FoldChange","CBX1.T_4","CBX1.T_3","CBX1.T_2","CBX1.T_1","NLS.T_4","NLS.T_3","NLS.T_2","NLS.T_1"
"AHCTF1",6.67589132504669,1.751,24.4566372999283,24.494099330301,24.7028131082546,24.4732602726301,22.8074826256223,22.7391767983859,22.865994016847,22.7106316072341
"AHCY",0.924118321003943,-0.326,22.3027589792019,22.0650006311535,22.1957828684763,21.6699089716626,22.6042708180085,22.2526035232219,22.0890885121241,22.5930439009954
"AHCYL1",5.63928754149101,-1.485,24.3437410326694,24.6982906891829,24.4006199620643,24.3927232131314,25.8415727428637,25.8741611911647,26.0716654004147,25.9895549675005
"AHCYL2",1.66066087811233,0.931,20.4952871833162,19.7278107383322,19.5266353745617,19.2135872880276,19.4589219840636,18.4706379837,18.7552729339102,18.5535772612328
"AHDC1",7.27662597270953,1.848,27.2712776804438,27.2019731536602,27.3295156047318,27.2696125910192,25.4825872886792,25.4063802010349,25.4477607870001,25.3438857354817
"AHNAK",6.90812007825838,-2.946,30.7501221765121,30.912917874796,30.9513989768632,30.5455230853027,34.0021348202483,33.8769695552504,33.5639250382433,33.501249574732
"AHNAK2",6.92054212498337,-2.434,26.7461152705226,26.6730582199669,26.8329788157708,26.5191633974982,29.3318888715307,29.1768221595742,29.111915260526,28.8854135665301
"AHR",0.034240706021477,-0.013,23.3519454821397,23.2470706258411,23.2817308247405,23.105825316051,23.4583632829022,23.2816437251069,23.3571044954824,22.9429757635115
"AHRR",3.51720839155427,1.503,20.9509858384913,20.7781062290955,20.9774585802325,20.6437908341582,19.8358214763493,19.0006628918325,19.657836068665,18.8440156146872
"AHSA1",0.461791573932279,0.11,23.2829544398103,23.3518206641117,23.0075040468467,23.2919321167253,23.0773749150051,23.1967636538349,23.0672161660672,23.1527114890284
"AIMP1",1.51815289801545,-2.004,17.6655863422047,18.1285063373676,15.7507810880683,17.5111660441561,18.3679966129311,19.4012293744519,18.2049806661813,21.0974825068266
"AIMP2",0.220604203167452,-0.584,16.0826664323622,15.249644634176,15.9410471483561,17.9105247221683,14.9510355462826,16.2546505029228,16.404145675545,19.9088013865253
"AIP",1.91818339272916,0.559,23.9827624154741,23.8480557462602,24.1282196952852,24.0432887477549,23.8739722507524,23.4681895165322,23.1455309257843,23.2772730680555
"AJUBA",0.659550335134657,0.211,21.8438963820239,21.9886696885411,21.9148550124394,21.5846858710611,21.4013767422308,21.5537930385902,21.9800594970404,21.5513453804644
"AK2",0.841798938406324,-0.846,18.5056676004734,17.2344934264697,18.3310598047283,16.8574269193984,17.869911323941,19.5911220497229,18.9021099261258,17.9476969252666
"AK5",5.45732111326953,-2.439,20.4357395612726,20.9405408483772,21.4588533798322,21.0239585799667,23.3812941134053,23.3404791722318,23.3997282219193,23.4932246204529
"AKAP10",2.3760312609841,-0.98,19.8246479837013,20.2488429024394,20.7023047682568,19.5416011640152,21.1920734175444,21.0805195615066,21.000994017459,20.9656518443682
"AKAP11",0.733047287609208,-0.31,22.752558693435,22.9233017621245,22.426634042033,22.9339282021365,23.1533384910375,23.0687795742144,23.4817486644995,22.5742949826238
"AKAP12",5.50984001586396,-1.712,22.1243687506109,22.1036785793331,22.112276151204,21.6818160805466,23.7326195650415,23.808425496908,23.8252614391649,23.5041076061812
"AKAP13",2.59762275128511,-0.557,23.2281581476708,23.3824534869655,23.5162149567626,23.1303953415334,24.0034775317507,23.9469626543502,23.8449284656034,23.6918238822347
"AKAP17A",3.07549460475711,-0.693,22.5715140561899,22.87955622636,22.5108294063015,22.520643416218,23.4421956364972,23.104579098431,23.3953375476758,23.3107336447863
"AKAP7",3.10875998799076,-1.563,17.6836989542736,17.495217380328,17.4828585727471,18.7418760202604,19.5924919338605,19.5450142528379,19.255757909875,19.260653928355
"AKAP8",1.15231601250481,-0.287,24.6498078334106,24.9579290622402,24.8950337573389,24.9707991550594,25.240171111889,25.2241889474233,25.2936475174128,24.8629521134409
"AKAP8L",0.986085934842235,-0.219,23.3627340836504,23.4293199518377,23.4657462443359,23.5156305951218,23.8671852753324,23.723558941023,23.6248813357526,23.4320198427613
"AKAP9",0.614865020796464,0.561,19.7866685101063,20.0649578545111,19.7626633180848,20.2273192483413,20.501243074205,19.4384895988378,19.4875473270987,18.1698055767173
"AKIRIN1",0.0907792840376126,-0.06,19.1761125239878,19.4125722389853,18.7449232335776,18.6180677157212,19.391760704624,19.0241415875289,18.5569019775617,19.2193245473755
"AKIRIN2",2.57542339256791,-1.969,18.1784986808683,16.3401606160315,17.021810179881,17.0933833165187,19.1248147003511,19.0884996256588,18.3597246939468,19.9354062057372
"AKR1A1",1.36079653427767,0.561,20.1971834515941,19.1822088883576,19.896820527887,19.8596163823887,19.4248062759982,19.4308454747582,19.0104941277531,19.0276218441374
"AKR1B1",1.13196346019138,0.892,17.9940692227682,18.3819918467661,19.1102658235607,18.316486668385,16.8392335000453,18.7129403964151,17.5755716996351,17.1058844138479
"AKR1C3",1.33536362099819,0.675,20.3169088902799,21.1190759952031,19.9664254399951,20.7742306236325,19.8451189538799,19.9757962930409,19.4133642506653,20.24092400218
"AKR7A2",1.49042125294001,1.861,18.7308092448361,19.2283013040568,18.9910389183633,18.1252230968205,18.2676826253453,17.4299182895218,17.2020811187659,14.7336472288319
"AKT1",1.1837307799908,-0.349,20.6946307590224,20.9114067937844,20.9319587145207,21.4026567893316,21.4267305308409,21.2528979372715,21.4255704166155,21.2312091386982
"AKT1S1",1.89239167403853,2.017,19.1207282453331,19.3457990539677,20.8375628436227,18.934817498984,16.6243541861884,17.8141736299435,16.7644566216538,18.9676688946073
"AKT2",0.7320184894259,0.311,22.0451482985079,22.1668980205503,22.1652203898793,22.1275094477585,21.8002432617518,22.3311397342163,21.8751148716162,21.255592295288
"AKT3",0.453431689272272,0.109,21.9659752422587,22.0613844370802,22.095401810079,22.3359233338692,22.0806779827722,21.9797805271948,21.9367217440239,22.0240131395564
"ALAD",1.53078326488373,0.985,18.5468485639697,18.3111529469638,17.931810305216,18.4328737450451,18.1591121522432,17.6851062160669,17.0275654220848,16.4106101997632
"ALB",2.99200769155258,1.284,28.2153512256116,27.2946293133214,28.0308936204932,27.458633359924,26.2425731466179,26.529723357601,26.2380825052309,26.8540748618114
"ALDH16A1",2.60506008630216,-1.76,18.4006331904909,17.6302096444246,17.8395500678614,17.7302290443584,20.3150995642601,18.489926021752,19.8349655700408,19.9986356835328
"ALDH18A1",0.37357343510411,-0.568,14.6200914106004,16.7967129362916,14.5218277827864,15.2244975691233,17.4172909216773,14.9903329079133,15.6274444100196,15.4016643375649
"ALDH1A3",0.465300059147389,0.171,22.7356531060642,22.4754218233466,22.9530703110884,22.3534688437846,22.508739036949,22.2563277238909,22.3567075049659,22.7122729631671
"ALDH7A1",0.35640463165323,0.2,22.8808977613724,22.7882827250913,22.6824143639422,21.8937493324043,22.7068936147018,22.1140912740884,22.2232921484302,22.4022188121172
"ALDH9A1",0.247042711354414,0.148,21.558102500437,21.0276576904848,21.4847368162367,20.4661574693781,21.0699490184462,21.1105384978011,20.9908841557961,20.7729929163279
"ALDOA",0.270633776500031,-0.216,23.2663844157171,22.7989141206916,22.6424309824954,22.8348763272793,22.4184377618707,22.6212142183348,23.6761163005247,23.6895504266715
"ALG13",0.23787112100866,0.088,20.5465844388187,20.1454362984925,20.4930697765382,19.9548816816576,20.2572772899934,20.2145992554727,20.1503152285407,20.167142670957
"ALKBH2",2.31203108832847,2.2,22.5317758592782,23.6580085578529,21.8774856310959,22.1281826557309,19.6116808319647,20.5864280601016,21.6250708840784,19.5708409130344
"ALKBH3",0.778395944734568,0.292,21.0651752211781,20.9357123179847,21.3400082827726,21.0638860690725,21.1970366214892,20.7265359723143,20.3708287165369,20.942868237614
"ALKBH4",0.628738999423129,0.402,18.4229295770577,19.1588747780567,19.0487560676383,18.1990971423686,18.6204686838751,18.580962377497,17.5803313650424,18.4402242856852
"ALKBH5",4.85664600050949,1.52,24.0315816213309,23.6277619340039,23.9566715029522,23.5678224101986,22.293014004736,22.1138352617777,22.1650522224059,22.5315583591835
"ALKBH6",0.561123711084394,0.667,17.4916999396937,15.7718199111856,16.3605930818314,17.3613854723275,15.9031579500041,17.4331116888104,15.178935242024,15.8030859376001
"ALMS1",1.11004528183358,0.435,21.5995800832508,21.1303524249747,21.5201591854669,21.3794114638235,20.4458017942473,21.2960065006508,21.2502095260131,20.8988297436985
"ALOX12B",1.75141954559077,1.371,21.3057596315581,20.5790976268798,20.2610952707801,20.3317434663244,19.486835148939,19.3093662696855,18.0352261967794,20.1613173680468
"ALOXE3",5.48017844015922,1.451,22.6530360146036,22.5886113786548,22.743112951889,22.7592209442617,21.2692492044531,21.2828482737534,20.9725209061819,21.4146854534514
"ALPK1",1.1577259270411,-1.86,16.1878412803754,15.170242767937,18.4143670490284,19.400511888348,19.5457232499737,19.2218781187573,18.8290477899715,19.0157776396806
"ALPK2",0.575186719304116,-0.349,16.0985160722212,16.580357505621,17.4072671005487,16.9064613967562,17.522616169071,17.1003749369562,16.9006355153755,16.8637935269892
"ALS2",1.99979437823195,-1.102,18.2758223975696,19.4672754521147,19.2749450640536,19.8984584865276,20.466344028523,20.2035692756048,20.1821552395868,20.4711768153325
"ALX1",1.45017869084383,0.512,20.8891355646068,21.0662757750491,20.6859900786078,21.2314968669798,20.0550317203931,20.8569967463211,20.3399024666711,20.5719297312962
"ALYREF",2.72209721657784,0.588,25.5155224736627,25.0775066469127,25.2277987994431,25.3071918588989,24.6134538453793,24.6898525291657,24.6043112582432,24.8675854020176
"AMBRA1",0.196254573923126,-0.089,22.0645929729414,21.4155203971671,21.5544411554185,21.8697683838316,21.9700761400578,21.7712819534772,21.5304753538562,21.9886605082516
"AMMECR1",2.86535587987386,0.914,22.6146394056034,22.8140844246353,23.0255502499682,22.573497944664,22.0591080059644,22.0383175470104,21.8908476223695,21.3836510027511
"AMMECR1L",5.51870215780835,2.478,21.6759409064033,21.4927334889416,20.9557507620738,21.0466492860918,18.6598240270139,19.1346505629775,18.8656187735301,18.6001984501311
"AMN1",1.09213365878491,0.918,19.7620779699901,18.64396197517,19.0846167900501,19.7748995322638,17.7619688119512,19.26846861399,18.975639771803,17.588463310421
"AMOT",2.7371185189404,0.437,23.0738834810977,22.9819262137052,23.0395992792197,23.0897410186069,22.6684501944048,22.708110988489,22.5536746386347,22.5077972475637
"AMOTL1",6.25477706047811,1.724,23.2798243135736,23.3905973150273,23.3024932434601,23.5170991139739,21.8062078053347,21.6645239629277,21.6591903926212,21.4631389407413
"AMOTL2",1.86621056368017,1.132,20.8837184508468,21.0470222021683,20.4024522107205,20.1686726534903,19.8905756504181,20.2097989271424,19.0325750256032,18.8408624770394
"AMPD2",3.45360181837581,-0.748,24.5454343203161,24.7961310261415,24.774741571896,24.5388909984338,25.4013549573804,25.3424821948612,25.2761457880835,25.6258108398711
"AMPD3",0.084304971907275,-0.225,16.5841805830656,20.003363097602,17.7153083924657,16.452151583311,18.650183939012,19.539743599687,17.1379715811618,16.3286307263366
"AMZ2",0.14537312178983,-0.119,17.2088302912665,18.3799423265862,17.9423210044336,18.5580996664701,18.3291346149331,17.8715819289209,17.859406233674,18.5045942947798
"ANAPC1",3.53802685807078,0.806,27.1531794601772,26.9724011213075,27.0068502158045,27.0505425311338,26.4805349320939,26.3175022258636,26.1739289168521,25.9887151116685
